,CUI,Drug,Indication
2444,['974779'],Obinutuzumab, is as a combination with chlorambucil treat patients with untreated chronic lymphocytic leukemia.
2445,['27604'],Inositol nicotinate," as a dietary supplement the source niacin. has been investigated potential beneficial effects on serum lipids. in europe, inosil hexanicotinate is as a patented drug known as hexopal, which is therapeutically the sympmatic relief severe intermittent claudication and raynaud’s phenomenon."
2446,['12449'],Gemeprost," the stening and dilatation the cervix uteri prior transcervical, intrauterine operative procedures in the first trimester pregnancy or facilitating therapeutic termination pregnancy in patients in the second trimester gestation."
2447,['2011'],Carbazochrome," capillary and parenchymal hemorrhage (trauma, nsillecmy, during surgery), intestinal bleeding, and thrombocypenic purpura."
2448,['89812'],Captodiame,capdiame is the anxiety.
2449,['19790'],Brotizolam, is the short-term (2-4 weeks) severe or debilitating insomnia.
2450,['19768'],Bromopride," in in the nausea and vomiting, including ponv (post-operative nausea and vomiting), gastroesophageal reflux disease (gerd/gord), as well as endoscopy preparation and radiographic studies the gi tract."
2451,['1596'],Bisacodyl, cleansing the colon as a preparation colonoscopy in adults.
2452,['325646'],Aliskiren," the hypertension, lower blood pressure."
2453,['1591922'],Ledipasvir,"when in combination with the antiviral medication [db08934] as the commercially available product harvoni, is the hcv genotypes 1, 4, 5, and 6 with or without [db00811] depending on the level liver damage or cirrhosis [fda label]. its use has also proven successful in the hcv in patients co-infected with hiv [a19627]."
2454,['1723152'],Cytisine, use in smoking cessation.
2455,['1599788'],Secukinumab, the moderate severe plaque psoriasis in patients that are candidates systemic therapy or photherapy.
2456,['1537034'],Vorapaxar," is the reduction thrombotic cardiovascular events in patients with a hisry myocardial infarction (mi) or peripheral arterial disease (pad). it is usually co-administered with acetylsalicylic acid (asa) and/or clopidogrel, and should theree be administered as an addition these medications as it has not been studied alone."
2457,['1494066'],Miltefosine," the mucosal (ca by leishmania braziliensis), cutaneous (ca by l. braziliensis, l. guyanensis, and l. panamensis), and visceral leishmaniasis (ca by l. donovani). in comparing leishmania drug susceptibility, it has been found that l. donovani is the most susceptible while l. major is the least susceptible. f-label use includes free-living amebae (fla) infections (unlabeled use; cdc, 2013)."
2458,['1538097'],Vedolizumab," is adult patients with moderately severely active uc or cd who have had an inadequate response with, lost response , or were inlerant a tumor necrosis facr (tnf) blocker or immunomodular; or had an inadequate response with, were inlerant , or demonstrated dependence on corticosteroids."
2459,['1547099'],Suvorexant, is the insomnia characterized by difficulties with sleep onset and/or sleep maintenance.
2460,['1597876'],Nivolumab," is the unresectable or metastatic melanoma patients who no longer respond with other drugs. it is intended use in patients who have been previously treated with ipilimumab and is melanoma patients after with ipilimumab and a braf inhibir in patients whose tumors express braf v600 gene mutations. hisrically there have been very few effective s advanced melanoma, which is why this product was approved under an fda accelerated program allow earlier patient access."
2461,['1535218'],Siltuximab, is the patients with multicentric castleman's disease (mcd) who are human immunodeficiency virus (hiv) negative and human herpesvirus-8 (hhv-8) negative. did not bind virally produced il-6 in a nonclinical study and was theree not studied in patients with mcd who are hiv or hhv-8 positive.
2462,['1547545'],Pembrolizumab," is a programmed death recepr-1 (pd-1)-blocking antibody the :  patients with unresectable or metastatic melanoma.  patients with metastatic nsclc whose tumors have high pd-l1 expression [(tumor proportion score (tps) ≥50%)] as determined by an fda-approved test, with no egfr or alk genomic tumor aberrations, and no prior systemic chemotherapy metastatic nsclc. 	 patients with metastatic nsclc whose tumors express pd-l1 (tps ≥1%) as determined by an fda-approved test, with disease progression on or after platinum-containing chemotherapy. patients with egfr or alk genomic tumor aberrations should have disease progression on fda-approved therapy these aberrations prior receiving keytruda. 	 patients with recurrent or metastatic hnscc with disease progression on or after platinum-containing chemotherapy. this indication is approved under accelerated approval based on tumor response rate and durability response. continued approval this indication may be contingent upon verification and description clinical benefit in the confirmary trials."
2463,['1545653'],Empagliflozin, is as an adjunct diet and exercise improve glycemic control in adult patients with type 2 diabetes.
2464,['1547220'],Eliglustat," is the long-term type 1 gaucher disease in patients who are cyp2d6 extensive metabolizers (ems), intermediate metabolizers (ims), or poor metabolizers (pms) in -naive and -experienced adult patients."
2465,['1539753'],Efinaconazole," in the fungal infection the nail, known as onychomycosis."
2466,['1543173'],Tavaborole, the onychomycosis (a fungal infection) the enails due <i>trichophyn rubrum</i> or <i>trichophyn mentagrophytes</i>.
2467,"['1540824', '1540825']",Tedizolid Phosphate," is an oxazolidinone antibacterial drug in adults the acute bacterial skin and skin structure infections (absssi) ca by susceptible isolates the following gram-positive microorganisms: staphylococcus aureus (including methicillin-resistant [mrsa] and methicillin-susceptible [mssa] isolates), strepcoccus pyogenes, strepcoccus agalactiae, strepcoccus anginosus group (including strepcoccus anginosus, strepcoccus intermedius, and strepcoccus constellatus), and enterococcus faecalis."
2468,['1534763'],Albiglutide, as an adjunct diet and exercise improve glycemic control in adults with type 2 diabetes mellitus.
2469,['1551291'],Dulaglutide, as an adjunct diet and exercise improve glycemic control in adults with type 2 diabetes mellitus.
2470,['1491625'],Metreleptin, is as an adjunct diet as replacement therapy treat the complications leptin deficiency in patients with congenital or acquired generalized lipodystrophy.
2471,['1598641'],Finafloxacin," is the acute otitis externa (aoe) with or without an owick, ca by susceptible strains <i>pseudomonas aeruginosa</i> and <i>staphylococcus aureus</i> in patients age 1 year and older."
2472,['1552337'],Netupitant, is an antiemitic drug approved by the fda in ocber 2014 use in combination with palonosetron the prevention acute and delayed vomiting and nausea associated with cancer chemotherapy including highly emegenic chemotherapy.
2473,['1551777'],Naloxegol, the opioid-induced constipation (oic) in adult patients with chronic non-cancer pain.
2474,['1597609'],Ceftolozane,"-complicated intra-abdominal infections, in combination with metronidazole. -complicated urinary tract infections, including pyelonephritis."
2475,['1489914'],Elosulfase alfa,vimizim is a hydrolytic lysosomal glycosaminoglycan (gag)-specific enzyme patients with mucopolysaccharidosis type iva (mps iva; morquio a syndrome).
2476,['1597258'],Blinatumomab, the philadelphia chromosome-negative relapsed or refracry b-cell precursor acute lymphoblastic leukemia (all).
2477,['1442981'],Ibrutinib," was approved by the fda the mantle cell lymphoma, and later in february 2014 the chronic lymphocytic leukemia. is also the patients with waldenström's macroglobulinemia (wm). in august 2017, was approved the chronic graft versus host disease patients who have failed one or more other therapies [l937]."
2478,['1544460'],Idelalisib," is in the chronic lymphocytic leukemia (cll), relapsed follicular b-cell non-hodgkin lymphoma (fl), and relapsed small lymphocytic lymphoma (sll). the relapsed cll, it is currently as a second-line agent in combination with rituximab in patients whom rituximab alone would be considered appropriate therapy due other co-morbidities, while in the fl and sll it is intended be in patients who have received at least two prior systemic therapies."
2479,['16817'],Acipimox, in the hyperlipidemias (abnormally elevated levels any or all lipids and/or lipoproteins in the blood).
2480,['1722335'],Anthrax immune globulin human,anthrax immune globulin is the inhalational anthrax in adult and pediatric patients in combination with appropriate antibacterial drugs.
2481,['1603834'],Avibactam,"avycaz (ceftazidime-), in combination with metronidazole, is the complicated intra-abdominal infections ca by the following susceptible microorganisms: escherichia coli, klebsiella pneumoniae, proteus mirabilis, providencia stuartii, enterobacter cloacae, klebsiella oxyca, and pseudomonas aeruginosa in patients 18 years or older. avycaz is also the complicated urinary tract infections including pyelonephritis ca by the following susceptible microorganisms: escherichia coli, klebsiella pneumoniae, citrobacter koseri, enterobacter aerogenes, enterobacter cloacae, citrobacter freundii, proteus spp., and pseudomonas aeruginosa in patients 18 years or older."
