CUI,Drug,Indication
['1665496'],rolapitant,rolapitant is indicated in combination with other antiemetic agents in adults for the prevention of delayed nausea and vomiting associated with initial and repeat courses of emetogenic cancer chemotherapy including but not limited to highly emetogenic chemotherapy
['1656328'],sacubitril,used in combination with valsartan to reduce the risk of cardiovascular events in patients with chronic heart failure nyha class iiiv and reduced ejection fraction it is usually administered in conjunction with other heart failure therapies in place of an ace inhibitor or other arb
"['1546394', '1546415']",iodide i131,therapeutic solutions of sodium iodide131 are indicated for the treatment of hyperthyroidism and thyroid carcinomas that take up iodine palliative effects may be observed in patients with advanced thyroid malignancy if the metastatic lesions take up iodine it is also indicated for use in performance of the radioactive iodide rai uptake test to evaluate thyroid function
['236770'],talniflumate,for the treatment of cystic fibrosis
['1597371'],ombitasvir,when used in combination with db09297 and db00503 as the fixed dose product technivie ombitasvir is indicated in combination with db00811 for the treatment of patients with genotype 4 chronic hepatitis c virus hcv infection without cirrhosis l866 when used in combination with db09297 db00503 and db09183 as the fixed dose product viekira pak ombitasvir is indicated for the treatment of hcv genotype 1b and when combined with db00811 for the treatment of hcv genotype 1a fda label
['1597373'],paritaprevir,when used within the fixeddose combination product with db09296 db09183 and db00503 as the fdaapproved product viekira pak paritaprevir is indicated for the treatment of hcv genotype 1b without cirrhosis or with compensated cirrhosis and when combined with db00811 for the treatment of hcv genotype 1a without cirrhosis or with compensated cirrhosis when used within the fixeddose combination product with db09296 and db00503 as the fda and health canadaapproved product technivie paritaprevir is indicated in combination with db00811 for the treatment of patients with genotype 4 chronic hepatitis c virus hcv infection without cirrhosis or with compensated cirrhosis when used within the fixeddose combination product with db09296 db09183 and db00503 as the health canadaapproved commercially available product holkira pak paritaprevir is indicated for the treatment of hcv genotype 1b with or without cirrhosis and when combined with db00811 for the treatment of hcv genotype 1a with or without cirrhosis
['1721603'],tenofovir alafenamide,for use in the treatment of hiv infection and chronic hepatitis b
['1085787'],butylscopolamine,used to treat abdmoninal cramping and pain fda label
['2473'],chondroitin sulfate,for the treatment of osteoarthritis
['1659152'],alirocumab,alirocumab is indicated as an adjunct to diet and maximally tolerated statin therapy in adults who require additional ldlcholesterol ldlc lowering due to heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease
['1665684'],evolocumab,for the treatment of heterozygoushomozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease in patients on maximum tolerated statin therapy requiring additional ldlcholesterol lowering
['1488293'],coagulation factor xiii asubunit recombinant,for routine prophylaxis of bleeding in patients with congenital factor xiii asubunit deficiency
['20063'],polycarbophil calcium,polycarbophil is used to treat constipation and to help maintain regular bowel movements
['1427177'],antilymphocyte immunoglobulin horse,for prevention of renal transplant rejection and for the treatment of aplastic anemia
['1426458'],ioxaglic acid,for use as a lowosmolality contrast medium
['1489762'],technetium tc99m pertechnetate,sodium pertechnetate tc99m injection is indicated for use in adults for imaging in the following tissues thyroid salivary gland urinary bladder for detection of vesicoureteral reflux and nasolacrimal drainage system dacryoscintigraphy it is indicated for use in children for imaging the following tissues thyroid and urinary bladder
['259282'],xenon133,inhalation of xenon xe 133 gas has proved valuable for the evaluation of pulmonary function and for imaging the lungs it may also be applied to assessment of cerebral flow
['91588'],thallous chloride,for use as a diagnostic radiopharmaceutical it is indicated to help diagnose heart disease eg coronary artery disease heart attack it is also used for the diagnosis of parathyroid problems
['253166'],synthetic conjugated estrogens a,for the treatment of moderate to severe vasomotor symptoms due to menopause and for treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause
['618365'],synthetic conjugated estrogens b,for the treatment of moderate to severe vasomotor symptoms due to menopause and for the treatment of moderate to severe vaginal dryness pain with intercourse and symptoms of vulvar and vaginal atrophy due to menopause
['7983'],procaine benzylpenicillin,for the treatment of a number of bacterial infections such as syphilis anthrax mouth infections pneumonia and diphtheria
['11423'],zinc oxide,for adjunctive treatment of diaper dermatitis also it can be used to treat minor skin irritations eg cuts burns and scrapes poison ivy zinc oxide can be used in ointments creams and lotions to protect against sunburn and other damage to the skin caused by ultraviolet light
['39954'],zinc sulfate,this medication is a mineral used to treat or prevent low levels of zinc in medicine it is used together with oral rehydration therapy ort and an astringent zinc sulfate injection usp is indicated for use as a supplement to intravenous solutions given for tpn
