['237057'],Lepirudin,For the treatment of heparin-induced thrombocytopenia
['226724'],Urea C-13,"Urea-13C is indicated for use in the qualitative detection of urease associated with Helicobacter pylori in the human stomach and as an aid in the initial diagnosis and post-treatment monitoring of Helicobacter pylori infection in adult patients. The test may be used for monitoring treatment if used at least four (4) weeks following completion of therapy. For these purposes, the system utilizes an Infrared Spectrophotometer for the measurement of the ratio of 13CO2 to 12CO2 in breath samples."
['10323'],Talc,"Preventing diaper rashes, Eliminating body odors, Preventing skin from chafing due to friction, Various cosmetics such as eyeshadow and lipstick Absorbing excess oil in hair, Freshening clothes and other materials. "
['9796'],Simethicone,"1. To relieve pain and discomfort caused by excess gas in the intestine and stomach in cases such as flatulence and post operative gaseous distention. 2. It could be used also prior to an endoscopy to eliminate foam, gas and air from the gastrointestinal tract to reduce gas shadow which will result in better visualization.  "
['253158'],Urea C-14,14C-urea is intended for use in the detection of gastric urease as an aid in the diagnosis of Helicobacter pylori (H. pylori) infection in the human stomach. The test utilizes a liquid scintillation counter for the measurement of 14CO2 in breath samples.
['15080'],Mequinol,
['261435'],Sodium ferric gluconate complex,Used to replete the total body content of iron during iron deficiency anemia in patients age 6 years and older with chronic kidney disease receiving hemodialysis and receiving supplemental epoetin therapy.
['5509'],Hydroquinone,"Hydroquinone is used as an OTC topical lightening agent for disorders of hyperpigmentation including melasma, post-inflammatory hyperpigmention, sunspots and freckles. "
['606396'],Human secretin,
['1544124'],Ecamsule,Applied topically to filter out UVA rays.
['77674'],Octocrylene,"In the US, Octocrylene has been evaluated by the FDA and is considered safe for use up to 10% in the formula. Similarly, the EU allows its use up to 10% in a formula while Health Canada allows a maximum use level of 12%. "
['38323'],Titanium dioxide,"In the pharmaceutical industry, titanium dioxide is used in most sunscreens to block UVA and UVB rays, similar to zinc oxide. It is also commonly used as pigment for pharmaceutical products such as gelatin capsules, tablet coatings and syrups."
['692863'],Iodine povacrylex,"Antispetic and germicidal agent. It is indicated for use as a patient preoperative skin preparation, for the preparation of the skin prior to surgery and to help reduce bacteria that can potentially cause skin infection."
['484348'],Omega-3-acid ethyl esters,"Omega-3-Acid Ethyl Esters capsules, USP are indicated as an adjunct to diet to reduce triglyceride (TG) levels in adult patients with severe (≥500 mg/dL) hypertriglyceridemia (HTG)."
['29787'],Methyl salicylate,"Ointments or liniments containing methyl salicylate are applied topically as counter irritant for relief of acute pain associated with lumbago,sciatica and rheumatic conditions. Local analgesics for human and veterinary medicine."
['1427223'],Iobenguane sulfate I-123,For use in the diagnostic imaging of adrenergically inervated tissues for the purposes of detecting metastatic pheochromocytoma or neuroblastoma [FDA Label]. Also used to assess the sympathetic inervation of the myocardium via determination of the heart to mediastinum ratio of radioactivity in patients with New York Heart Association class II or III heart failure.
['3210'],Desoxyribonuclease,
['237058'],Thonzonium,Used as a monocationic surfactant and detergent to help penetration of active ingredients through cellular debris for its antibacterial action.
['54828'],Dexchlorpheniramine maleate,"Dexchlorpheniramine can be used in the treatment of perennial and seasonal allergic rhinitis, vasomotor rhiniti, allergic conjunctivitis due to inhalant allergens and foods, mild uncomplicated allergic skin manifestations of urticaria and angioedema, amelioration of allergic reactions to blood or plasma, and dermographism."
['1723738'],Necitumumab,Necitumumab is approved for use in combination with cisplatin and gemcitabine as a first-line treatment for metastatic squamous non-small cell lung cancer (NSCLC). It is not indicated for treatment of non-squamous NSCLC.
['1595589'],Sodium glycerophosphate,
['1425419'],Choline C-11,"Choline C 11 Injection is indicated for  positron emission tomography (PET) imaging of patients with suspected prostate cancer recurrence and non-informative bone scintigraphy, computerized tomography (CT)    or magnetic resonance imaging (MRI).  In these patients, 11 C-choline PET  imaging may  help identify potential sites of prostate cancer recurrence for subsequent histologic confirmation. Suspected prostate recurrence is based upon elevated blood prostate specific antigen (PSA) levels following initial therapy.  In clinical studies, imag   es w  ere produced with PET/CT coregistration. "
['1670007'],Insulin Degludec,Insulin degludec is indicated to improve glycemic control in adults with diabetes mellitus.
['1309250'],Olive oil,For use in adults as a source of calories and fatty acids in total parenteral nutrition [FDA Label]. Sometimes used as an additive in cosmetic products.
['1652071'],Omega-3-carboxylic acids,
['1723735'],Ixazomib,Ixazomib is indicated in combination with lenalidomide and dexamethasone for the treatment of patients with multiple myeloma who have received at least one prior therapy.
['1314416'],Levmetamfetamine,Among its physiological effects are the vasoconstriction that makes it useful for nasal decongestion.
['798304'],Corynebacterium diphtheriae,
['1300464'],Haemophilus influenzae type b strain 1482 capsular polysaccharide tetanus toxoid conjugate antigen,
['253199'],Rotavirus Vaccine,
['830457'],"Rabies virus inactivated antigen, A",
['1593127'],Neisseria meningitidis serogroup b recombinant lp2086 a05 protein variant antigen,
['1593130'],Neisseria meningitidis serogroup b recombinant lp2086 b01 protein variant antigen,
['798228'],Streptococcus pneumoniae type 4 capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['798230'],Streptococcus pneumoniae type 6b capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['798232'],Streptococcus pneumoniae type 9v capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['798220'],Streptococcus pneumoniae type 14 capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['798222'],Streptococcus pneumoniae type 18c capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['798224'],Streptococcus pneumoniae type 19f capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['798226'],Streptococcus pneumoniae type 23f capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['901620'],Streptococcus pneumoniae type 1 capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['901628'],Streptococcus pneumoniae type 3 capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['901631'],Streptococcus pneumoniae type 5 capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['901633'],Streptococcus pneumoniae type 6a capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['901636'],Streptococcus pneumoniae type 7f capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['901624'],Streptococcus pneumoniae type 19a capsular polysaccharide diphtheria crm197 protein conjugate antigen,
['798268'],Human papillomavirus type 6 L1 capsid protein antigen,
['798262'],Human papillomavirus type 11 L1 capsid protein antigen,
['798264'],Human papillomavirus type 16 L1 capsid protein antigen,
['798266'],Human papillomavirus type 18 L1 capsid protein antigen,
['1596930'],Human papillomavirus type 31 L1 capsid protein antigen,
['1596931'],Human papillomavirus type 33 L1 capsid protein antigen,
['1596932'],Human papillomavirus type 45 L1 capsid protein antigen,
['1596933'],Human papillomavirus type 52 L1 capsid protein antigen,
['1596934'],Human papillomavirus type 58 L1 capsid protein antigen,
['804179'],Measles virus strain enders' attenuated edmonston live antigen,
['798372'],Mumps virus strain b level jeryl lynn live antigen,
['762817'],Rubella virus vaccine,
['805486'],Varicella Zoster Vaccine (Live/Attenuated),"Zostavax vaccine is indicated for the prevention of herpes zoster (shingles) in immunocompetent adults aged 50 years and older. Varivax vaccine is indicated for active immunization for the prevention of varicella in individuals 12 months of age and older."
['854930'],Streptococcus pneumoniae type 1 capsular polysaccharide antigen,
['854950'],Streptococcus pneumoniae type 2 capsular polysaccharide antigen,
